$5200,-10,John Boehner (R),G4000,Retail trade
$5500,0,John Boehner (R),M2100,Steel
$5500,0,John Boehner (R),M2300,Industrial/commercial equipment & materials
$5502,-21,John Boehner (R),G2600,Beverages (non-alcoholic)
$5600,0,John Boehner (R),A8000,Florists & Nursery Services
$6070,0,John Boehner (R),T2200,Truck/Automotive parts & accessories
$6250,0,John Boehner (R),K0000,Legal Services
$6500,-6,John Boehner (R),G2900,Restaurants & drinking establishments
$6500,2,John Boehner (R),F3000,Insurance
$6500,2,John Boehner (R),M4100,Furniture & wood products
$6700,0,John Boehner (R),JE300,Environmental policy
$7000,0,John Boehner (R),J1200,Democratic/Liberal
$7000,2,John Boehner (R),M1100,Explosives
$7150,0,John Boehner (R),H3000,Health care services
$7200,0,John Boehner (R),A1100,Cotton
$7500,-1,John Boehner (R),G5210,Advertising & public relations services
$7500,0,John Boehner (R),M3000,Personal products manufacturing
$7500,0,John Boehner (R),H3800,Mental Health Services
$7500,0,John Boehner (R),C1300,Commercial printing & typesetting
$7500,0,John Boehner (R),X5000,Military
$7500,0,John Boehner (R),T5100,Railroads
$7500,0,John Boehner (R),E1220,Metal mining & processing
$7500,0,John Boehner (R),G5270,Management consultants & services
$8000,2,John Boehner (R),F5300,Tax return services
$8450,0,John Boehner (R),D5000,Defense shipbuilders
$8500,-3,John Boehner (R),J6200,Pro-Guns
$8500,-2,John Boehner (R),A4100,Agricultural chemicals (fertilizers & pesticides)
$8500,0,John Boehner (R),G2700,Beverage bottling & distribution
$8750,-13,John Boehner (R),H1110,Psychiatrists & psychologists
$8750,0,John Boehner (R),A1600,"Other commodities (incl rice, peanuts, honey)"
$8800,0,John Boehner (R),G6700,Amusement parks
$9000,0,John Boehner (R),T9300,Resorts
$9000,2,John Boehner (R),G5500,Laundries & dry cleaners
$9450,0,John Boehner (R),E1150,"Oilfield service, equipment & exploration"
$9651,0,John Boehner (R),M2250,Aluminum mining/processing
$10000,0,John Boehner (R),J7000,Human Rights
$10000,0,John Boehner (R),X3200,Courts & Justice System
$10000,0,John Boehner (R),M4200,Office machines
$10000,0,John Boehner (R),M5000,Fabricated metal products
$10000,3,John Boehner (R),F1200,Savings banks & Savings and Loans
$10000,16,John Boehner (R),F7000,Investors
$10200,0,John Boehner (R),D6000,Homeland Security contractors
$11000,0,John Boehner (R),C4600,Telephone & communications equipment
$11000,0,John Boehner (R),A5000,Forestry & Forest Products
$11000,2,John Boehner (R),C2600,Recorded Music & music production
$11000,2,John Boehner (R),A4200,Farm machinery & equipment
$11000,2,John Boehner (R),A4500,Veterinarians
$11000,3,John Boehner (R),F1400,Credit agencies & finance companies
$11250,0,John Boehner (R),J2200,Republican leadership PAC
$11250,1,John Boehner (R),G5290,Security services
$12500,0,John Boehner (R),E1000,Energy production & distribution
$12500,0,John Boehner (R),M3200,Shoes & leather products
$12500,0,John Boehner (R),G5400,Funeral services
$12500,4,John Boehner (R),F3200,Accident & health insurance
$12500,5,John Boehner (R),LG400,Entertainment unions
$12950,0,John Boehner (R),E1110,Major (multinational) oil & gas producers
$13000,0,John Boehner (R),L1300,Teachers unions
$13500,0,John Boehner (R),F5100,Accountants
$13500,0,John Boehner (R),F5200,Credit reporting services & collection agencies
$14400,0,John Boehner (R),T2000,"Automotive, Misc"
$14500,4,John Boehner (R),G4900,Drug stores
$14900,0,John Boehner (R),J7200,Elderly issues/Social Security
$15000,2,John Boehner (R),H5100,Schools & colleges
$15150,4,John Boehner (R),G7000,Correctional facilities constr & mgmt/for-profit
$15200,0,John Boehner (R),F1410,Student loan companies
$15200,0,John Boehner (R),G5260,Political consultants/advisers
$15750,2,John Boehner (R),J3000,Consumer groups
$16250,2,John Boehner (R),T1500,Air freight
$16400,0,John Boehner (R),M3100,Clothing & accessories
$17500,0,John Boehner (R),M3500,Toys
$17600,0,,,
$17850,0,John Boehner (R),M7100,Paper packaging materials
$17900,0,John Boehner (R),H0000,"Health, Education & Human Resources"
$18000,0,John Boehner (R),C1400,Greeting card publishing
$20000,0,John Boehner (R),J2400,"Republican officials, candidates & former members"
$20000,0,John Boehner (R),B0000,Construction & Public Works
$20000,0,John Boehner (R),A3000,Livestock
$20000,2,John Boehner (R),H3500,AIDS treatment & testing
$20000,4,John Boehner (R),A1200,Sugar cane & sugar beets
$20450,0,John Boehner (R),B3600,Landscaping & Excavation Svcs
$20700,0,John Boehner (R),A3500,Horse breeders
$20750,-1,John Boehner (R),J7500,Minority/Ethnic Groups
$21000,32,John Boehner (R),C5110,"Computers, components & accessories"
$21253,0,John Boehner (R),B6000,Construction equipment
$21300,0,John Boehner (R),A0000,Agriculture
$22114,2,John Boehner (R),G5230,Outdoor advertising services
$22250,0,John Boehner (R),G4300,"Department, variety & convenience stores"
$22500,0,John Boehner (R),E1200,Mining
$22500,2,John Boehner (R),B5100,"Stone, clay, glass & concrete products"
$22751,0,John Boehner (R),E1160,Petroleum refining & marketing
